v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   670.000000                       0.003043          0.000658
   671.000000                       0.003263          0.000706
   672.000000                       0.003518          0.000761
   673.000000                       0.003814          0.000825
   674.000000                       0.004162          0.000900
   675.000000                       0.004572          0.000989
   676.000000                       0.005061          0.001095
   677.000000                       0.005650          0.001222
   678.000000                       0.006366          0.001377
   679.000000                       0.007250          0.001568
   680.000000                       0.008356          0.001808
   681.000000                       0.009762          0.002112
   682.000000                       0.011586          0.002507
   683.000000                       0.014004          0.003030
   684.000000                       0.017291          0.003741
   685.000000                       0.021893          0.004736
   686.000000                       0.028556          0.006178
   687.000000                       0.038556          0.008341
   688.000000                       0.054076          0.011699
   689.000000                       0.078495          0.016982
   690.000000                       0.114694          0.024813
   691.000000                       0.154837          0.033498
   692.000000                       0.167383          0.036212
   693.000000                       0.137549          0.029758
   694.000000                       0.096738          0.020929
   695.000000                       0.065986          0.014276
   696.000000                       0.046102          0.009974
   697.000000                       0.033441          0.007235
   698.000000                       0.025164          0.005444
   699.000000                       0.019555          0.004231
   700.000000                       0.015618          0.003379
   701.000000                       0.012766          0.002762
   702.000000                       0.010641          0.002302
   703.000000                       0.009021          0.001952
   704.000000                       0.007758          0.001678
   705.000000                       0.006757          0.001462
   706.000000                       0.005950          0.001287
   707.000000                       0.005291          0.001145
   708.000000                       0.004746          0.001027
   709.000000                       0.004291          0.000928
   710.000000                       0.003906          0.000845
   711.000000                       0.003579          0.000774
   712.000000                       0.003298          0.000713
   713.000000                       0.003055          0.000661
   714.000000                       0.002844          0.000615
   715.000000                       0.002659          0.000575
   716.000000                       0.002496          0.000540
   717.000000                       0.002353          0.000509
   718.000000                       0.002226          0.000481
   719.000000                       0.002112          0.000457
   720.000000                       0.002011          0.000435
   721.000000                       0.001920          0.000415
   722.000000                       0.001838          0.000398
   723.000000                       0.001764          0.000382
   724.000000                       0.001698          0.000367
   725.000000                       0.001638          0.000354
   726.000000                       0.001583          0.000343
   727.000000                       0.001534          0.000332
   728.000000                       0.001489          0.000322
   729.000000                       0.001448          0.000313
   730.000000                       0.001411          0.000305
   731.000000                       0.001378          0.000298
   732.000000                       0.001348          0.000292
   733.000000                       0.001320          0.000286
   734.000000                       0.001296          0.000280
   735.000000                       0.001274          0.000276
   736.000000                       0.001254          0.000271
   737.000000                       0.001237          0.000268
   738.000000                       0.001222          0.000264
   739.000000                       0.001208          0.000261
   740.000000                       0.001197          0.000259
   741.000000                       0.001188          0.000257
   742.000000                       0.001181          0.000255
   743.000000                       0.001175          0.000254
   744.000000                       0.001172          0.000254
   745.000000                       0.001170          0.000253
   746.000000                       0.001170          0.000253
   747.000000                       0.001172          0.000254
   748.000000                       0.001176          0.000255
   749.000000                       0.001182          0.000256
   750.000000                       0.001191          0.000258
   751.000000                       0.001201          0.000260
   752.000000                       0.001214          0.000263
   753.000000                       0.001229          0.000266
   754.000000                       0.001247          0.000270
